"NO_MUNICIPIO","NO_ENTIDADE","TP_DEPENDENCIA","IN_INTERNET"
"Recife","EMTI ANTONIO FARIAS FILHO",3,1
"Recife","ESCOLA MUNICIPAL DOS COELHOS",3,1
"Recife","EMTI MONTEIRO LOBATO",3,1
"Recife","ESCOLA MUNICIPAL JULIO VICENTE ALVES DE ARAUJO",3,1
"Recife","ESCOLA MUNICIPAL DE DOIS RIOS",3,1
"Recife","ESCOLA MUNICIPAL DOS REMEDIOS",3,1
"Recife","ESCOLA MUNICIPAL SENADOR JOSE ERMIRIO DE MORAES",3,1
"Recife","ESCOLA MUNICIPAL TRES CARNEIROS",3,1
"Recife","ESCOLA MUNICIPAL ZUMBI DOS PALMARES",3,1
"Recife","EMTI DA IPUTINGA",3,1
"Recife","ESCOLA MUNICIPAL PADRE JOSE DE ANCHIETA",3,1
"Recife","ESCOLA MUNICIPAL GENERAL SAN MARTIN",3,1
"Recife","ESCOLA MUNICIPAL DOUTOR RODOLFO AURELIANO",3,1
"Recife","ESCOLA MUNICIPAL JOAO XXIII",3,1
"Recife","EMTI LUIZ VAZ DE CAMOES",3,1
"Recife","ESCOLA MUNICIPAL NOVO PINA",3,1
"Recife","ESCOLA MUNICIPAL VILA OPERARIA DO RECIFE",3,1
"Recife","ESCOLA MUNICIPAL DO DOM",3,1
"Recife","ESCOLA MUNICIPAL PROFESSORA MARIA DA PAZ BRANDAO ALVES",3,1
"Recife","ESCOLA MUNICIPAL PROFESSORA SONIA MARIA DE ARAUJO SOUZA",3,1
"Recife","ESCOLA MUNICIPAL ENGENHEIRO GUILHERME DINIZ",3,1
"Recife","ESCOLA MUNICIPAL ALMIRANTE SOARES DUTRA",3,1
"Recife","ESCOLA MUNICIPAL ENGENHEIRO UMBERTO GONDIM",3,1
"Recife","ESCOLA MUNICIPAL BALBINA MENELAU",3,1
"Recife","ESCOLA MUNICIPAL DO JORDAO",3,1
"Recife","ESCOLA MUNICIPAL DO LEAO",3,1
"Recife","ESCOLA MUNICIPAL DRAOMIRO CHAVES AGUIAR",3,1
"Recife","ESCOLA MUNICIPAL MAGALHAES BASTOS",3,1
"Recife","ESCOLA MUNICIPAL PROFESSOR MOACYR DE ALBUQUERQUE",3,1
"Recife","ESCOLA MUNICIPAL PADRE JOSE MATHIAS DELGADO",3,1
"Recife","ESCOLA MUNICIPAL HUGO GERDAU",3,1
"Recife","ESCOLA MUNICIPAL PROF ELIZABETH SALES COUTINHO BARROS",3,1
"Recife","ESCOLA MUNICIPAL SANTA MARIA",3,1
"Recife","ESCOLA MUNICIPAL VILA SESAMO",3,1
"Recife","EMTI PROFESSOR JOSE DA COSTA PORTO",3,1
"Recife","EMTI PEDRO AUGUSTO",3,1
"Recife","ESCOLA MUNICIPAL PADRE ANTONIO HENRIQUE",3,1
"Recife","EMTI REITOR JOAO ALFREDO",3,1
"Recife","ESCOLA MUNICIPAL LUTADORES DO BEM",3,1
"Recife","ESCOLA MUNICIPAL CIDADAO HERBERT DE SOUZA",3,1
"Recife","ESCOLA MUNICIPAL GENERAL EMIDIO DANTAS BARRETO",3,1
"Recife","ESCOLA MUNICIPAL SEDE DA SABEDORIA",3,1
"Recife","CMEI ANA ROSA FALCAO DE CARVALHO",3,1
"Recife","ESCOLA MUNICIPAL SEVERINA LIRA",3,1
"Recife","ESCOLA MUNICIPAL SERVICO SOCIAL DE BELEM",3,1
"Recife","EMTI MARIO MELO",3,1
"Recife","ESCOLA MUNICIPAL DOM HELDER CAMARA",3,1
"Recife","ESCOLA MUNICIPAL SANTA CECILIA",3,1
"Recife","ESCOLA MUNICIPAL POETA JONATAS BRAGA",3,1
"Recife","ESCOLA MUNICIPAL DO COQUE",3,1
"Recife","ESCOLA MUNICIPAL EDITE BRAGA",3,1
"Recife","ESCOLA MUNICIPAL SANTA EDWIGES",3,1
"Recife","ESCOLA MUNICIPAL VILA SAO MIGUEL",3,1
"Recife","CRECHE ESC RECIFE ASSOCIACAO CRISTA FEMININA",3,1
"Recife","ESCOLA MUNICIPAL PAROQUIAL CRISTO REI",3,1
"Recife","ESCOLA MUNICIPAL SOLDADO JOSE ANTONIO DO NASCIMENTO BOA VISTA",3,1
"Recife","ESCOLA MUNICIPAL ALTO DA BELA VISTA",3,1
"Recife","ESCOLA MUNICIPAL CASA DOS FERROVIARIOS",3,1
"Recife","EMTI DOM BOSCO",3,1
"Recife","ESCOLA MUNICIPAL DOUTOR ANTONIO CORREIA",3,1
"Recife","EMTI ANDRE DE MELO",3,1
"Recife","ESCOLA MUNICIPAL DE TEJIPIO",3,1
"Recife","ESCOLA MUNICIPAL MARECHAL RONDON",3,1
"Recife","ESCOLA MUNICIPAL PROFESSORA PRIMITIVA DE BARROS SILVA",3,1
"Recife","ESCOLA MUNICIPAL SANTO ANTONIO DO CACOTE",3,1
"Recife","ESCOLA MUNICIPAL WALDEMAR VALENTE",3,1
"Recife","ESCOLA MUNICIPAL ABILIO GOMES",3,1
"Recife","ESCOLA MUNICIPAL LAGOA ENCANTADA",3,1
"Recife","CMEI BERNARD VAN DER LEER",3,1
"Recife","ESCOLA MUNICIPAL 14 BIS",3,1
"Recife","ESCOLA MUNICIPAL BEATO EUGENIO MAZENOD",3,1
"Recife","ESCOLA MUNICIPAL CAPELA SANTO ANTONIO",3,1
"Recife","EMTI CICERO FRANKLIN CORDEIRO",3,1
"Recife","EMTI MARIA DE SAMPAIO LUCENA",3,1
"Recife","ESCOLA MUNICIPAL FUTURO FELIZ",3,1
"Recife","ESCOLA MUNICIPAL PROFESSOR MANOEL TORRES",3,1
"Recife","ESCOLA MUNICIPAL MARIA ADELAIDE DE BARROS",3,1
"Recife","ESCOLA MUNICIPAL MARGARIDA SERPA COSSART",3,1
"Recife","ESCOLA MUNICIPAL PROFESSOR SIMOES BARBOSA",3,1
"Recife","ESCOLA MUNICIPAL MENINO JESUS",3,1
"Recife","ESCOLA MUNICIPAL ESCRITOR JOSUE DE CASTRO",3,1
"Recife","ESCOLA MUNICIPAL JARDIM MAURICEIA",3,1
"Recife","EMTI OSWALDO LIMA FILHO",3,1
"Recife","ESCOLA MUNICIPAL PAIS E FILHOS",3,1
"Recife","ESCOLA MUNICIPAL POETA PAULO BANDEIRA DA CRUZ",3,1
"Recife","ESCOLA MUNICIPAL PROFESSOR ADAUTO PONTES",3,1
"Recife","ESCOLA MUNICIPAL PROF JOSE LOURENCO DE LIMA",3,1
"Recife","ESCOLA MUNICIPAL SAO FRANCISCO DE ASSIS",3,1
"Recife","ESCOLA MUNICIPAL SOCIOLOGO GILBERTO FREYRE",3,1
"Recife","ESCOLA MUNICIPAL MUNDO ESPERANCA",3,1
"Recife","ESCOLA MUNICIPAL VIRGEM PODEROSA",3,1
"Recife","ESCOLA MUNICIPAL ALTO JARDIM PROGRESSO",3,1
"Recife","ESCOLA MUNICIPAL ARQUITETO ALEXANDRE MUNIZ DE OLIVEIRA",3,1
"Recife","ESCOLA MUNICIPAL OCTAVIO DE MEIRA LINS",3,1
"Recife","ESCOLA MUNICIPAL PROFESSORA ALMERINDA UMBELINO DE BARROS",3,1
"Recife","ESCOLA MUNICIPAL MARGARIDA DE SIQUEIRA PESSOA",3,1
"Recife","ESCOLA MUNICIPAL CORREGO DA BICA",3,1
"Recife","EMTI ALTO DA GUABIRABA",3,1
"Recife","ESCOLA MUNICIPAL DOUTOR CAETE",3,1
"Recife","ESCOLA MUNICIPAL PRESBITERO JOSE BEZERRA",3,1
"Recife","ESCOLA MUNICIPAL PASTOR PAULO LEIVAS MACALAO",3,1
